,index,Year,AVG_TEMP
0,0,1873,10.22
1,1,1874,9.34
2,2,1875,8.57
3,3,1876,9.07
4,4,1877,9.45
5,5,1878,9.66
6,6,1879,8.18
7,7,1880,9.58
8,8,1881,8.44
9,9,1882,10.15
10,10,1883,9.02
11,11,1884,9.55
12,12,1885,9.41
13,13,1886,9.38
14,14,1887,8.67
15,15,1888,8.38
16,16,1889,8.81
17,17,1890,8.98
18,18,1891,8.78
19,19,1892,9.09
20,20,1893,9.17
21,21,1894,9.68
22,22,1895,8.7
23,23,1896,8.82
24,24,1897,9.43
25,25,1898,10.26
26,26,1899,9.21
27,27,1900,9.78
28,28,1901,9.33
29,29,1902,8.34
30,30,1903,9.61
31,31,1904,9.72
32,32,1905,9.51
33,33,1906,9.55
34,34,1907,9.37
35,35,1908,8.88
36,36,1909,8.85
37,37,1910,9.64
38,38,1911,10.08
39,39,1912,8.84
40,40,1913,9.46
41,41,1914,9.03
42,42,1915,9.4
43,43,1916,10.34
44,44,1917,9.15
45,45,1918,9.8
46,46,1919,8.92
47,47,1920,9.79
48,48,1921,10.32
49,49,1922,8.71
50,50,1923,9.68
51,51,1924,8.69
52,52,1925,9.62
53,53,1926,10.06
54,54,1927,9.73
55,55,1928,9.88
56,56,1929,8.63
57,57,1930,10.22
58,58,1931,9.06
59,59,1932,9.72
60,60,1933,8.7
61,61,1934,11.17
62,62,1935,9.64
63,63,1936,9.9
64,64,1937,10.0
65,65,1938,9.97
66,66,1939,9.76
67,67,1940,7.52
68,68,1941,8.31
69,69,1942,8.57
70,70,1943,10.0
71,71,1944,9.52
72,72,1945,10.38
73,73,1946,10.18
74,74,1947,10.0
75,75,1948,10.3
76,76,1949,10.45
77,77,1950,10.34
78,78,1951,10.6
79,79,1952,9.69
80,80,1953,10.36
81,81,1954,9.09
82,82,1955,9.28
83,83,1956,8.69
84,84,1957,10.22
85,85,1958,10.12
86,86,1959,10.23
87,87,1960,9.92
88,88,1961,10.58
89,89,1962,9.02
90,90,1963,9.02
91,91,1964,9.51
92,92,1965,9.06
93,93,1966,10.5
94,94,1967,10.61
95,95,1968,10.04
96,96,1969,9.57
97,97,1970,9.58
98,98,1971,9.88
99,99,1972,9.58
100,100,1973,9.86
101,101,1974,10.52
102,102,1975,10.36
103,103,1976,9.83
104,104,1977,10.37
105,105,1978,9.32
106,106,1979,9.78
107,107,1980,8.98
108,108,1981,10.36
109,109,1982,10.19
110,110,1983,10.98
111,111,1984,9.62
112,112,1985,9.23
113,113,1986,9.79
114,114,1987,9.5
115,115,1988,10.61
116,116,1989,10.81
117,117,1990,11.01
118,118,1991,9.85
119,119,1992,11.18
120,120,1993,10.06
121,121,1994,11.48
122,122,1995,10.34
123,123,1996,8.88
124,124,1997,10.03
125,125,1998,10.74
126,126,1999,10.66
127,127,2000,11.69
128,128,2001,10.57
129,129,2002,11.32
130,130,2003,10.95
131,131,2004,10.45
132,132,2005,10.22
133,133,2006,10.68
134,134,2007,11.65
135,135,2008,11.42
136,136,2009,11.0
137,137,2010,9.9
138,138,2011,11.05
139,139,2012,11.28
140,140,2013,10.86
141,141,2014,11.97
142,142,2015,12.07
143,143,2016,11.51
144,144,2017,11.59
145,145,2018,12.41
146,146,2019,12.41
147,147,2020,11.86
148,148,2021,11.12
149,149,2022,12.22
